蓝光频道,#genre#
CCTV-1蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225674/index.m3u8?
CCTV-1蓝光,//111.12.102.68:6610/PLTV/77777777/224/3221225654/index.m3u8?
CCTV-1蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225772/index.m3u8?
CCTV-2蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225676/index.m3u8?
CCTV-2蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225657/index.m3u8?
CCTV-2蓝光,http://112.17.40.145/PLTV/88888888/224/3221226138/index.m3u8
CCTV-3蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225677/index.m3u8?
CCTV-3蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225713/index.m3u8?
CCTV-3蓝光,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-3/1.m3u8
CCTV-3蓝光,http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8
CCTV-4蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225775/index.m3u8?
CCTV-4蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225761/index.m3u8?
CCTV-4蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225753/index.m3u8?
CCTV-5蓝光,http://112.17.40.145/PLTV/88888888/224/3221226687/index.m3u8
CCTV-5蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225516/index.m3u8?
CCTV-5+蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225621/index.m3u8?
CCTV-5+蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225712/index.m3u8?
CCTV-5+蓝光,http://117.169.124.46:6410/ysten-businessmobile/live/hdcctv05plus/1.m3u8
CCTV-6蓝光,http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8
CCTV-6蓝光,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-6/1.m3u8
CCTV-6蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225715/index.m3u8?
CCTV-7蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225627/index.m3u8?
CCTV-7蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225700/index.m3u8?
CCTV-7蓝光,http://112.17.40.7:80/PLTV/88888888/224/3221226122/index.m3u8
CCTV-8蓝光,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-8/1.m3u8
CCTV-8蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225630/index.m3u8?
CCTV-9蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225633/index.m3u8?
CCTV-9蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225663/index.m3u8?
CCTV-9蓝光,http://112.17.40.8:80/PLTV/88888888/224/3221226156/index.m3u8
CCTV-10蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225624/index.m3u8?
CCTV-10蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225704/index.m3u8?
CCTV-10蓝光,http://112.17.40.48:80/PLTV/88888888/224/3221226199/index.m3u8
CCTV-11蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225739/index.m3u8?
CCTV-11蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225750/index.m3u8?
